CreatedAtUTC,Stem,SnapshotPath,ContentHash,Rows,FirstDT,LastDT,Source
2026-07-31T23:21:55.889810+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260731_232155_891ba2bc5d.csv,891ba2bc5d65793a475f8b1d9106d61e602e01c73cc394da0ec4f698bcfc2b89,19,,,rolling_origin_replay
2026-07-31T23:21:55.926759+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260731_232155_48ece2ca11.csv,48ece2ca112406b44e0b45f956886643f2296b16ea34e83c433519db0de245e7,418,,,rolling_origin_replay
2026-07-31T23:21:55.939819+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260731_232155_ac4ee8bb80.csv,ac4ee8bb804ec4d17db594bb3c8f4ec82f7dba8f7b18aac17820aa069f0dc848,9,,,rolling_origin_replay
2026-07-31T23:21:56.037891+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260731_232155_092683f4a6.csv,092683f4a6a8bcc92199f61365bd066b5a117d0e1ab0f0ecd5649cedd552740e,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-08-01T02:01:07.486268+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260801_020053_57a6aaccb2.csv,57a6aaccb2d51ffd2994ea08098724f610a93d4ca57951510b8a6fc365813020,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
2026-08-01T02:01:07.698322+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260801_020107_fe441f273a.csv,fe441f273a9a539e26bbec58313020be97000e46a8b8018d3a0da1ed07e35612,19,,,rolling_origin_replay
2026-08-01T02:01:08.538509+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260801_020107_b95c142fba.csv,b95c142fbaf31a2870656a725448581e8f3025f202a3d5147b0240aeab37c856,418,,,rolling_origin_replay
2026-08-01T02:01:09.095641+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260801_020108_37067bf862.csv,37067bf86213cd28894cbf3c6eeb652491e4b6cc5ae9a68afe5234f076d2821d,9,,,rolling_origin_replay
2026-08-01T02:01:09.560340+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260801_020109_c8e30cb1d5.csv,c8e30cb1d5418af5ffcfc15a0992ad1ad676102324fadb887a80ac121498ba3b,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-08-01T16:18:46.074390+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260801_161839_99cea49f02.csv,99cea49f026bad8f4fc74e556b6b33168e9bc88259aa28255e1d0a1295b2505c,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
2026-08-01T16:18:46.100425+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260801_161846_0003124cae.csv,0003124cae8e25c225ca4b71771661b5162a27f3dd602e272f4c005d442941c2,19,,,rolling_origin_replay
2026-08-01T16:18:46.141676+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260801_161846_289b75b6e7.csv,289b75b6e7a0eed073ca035b2dc347a6472bb4aab6c91c0fbba07d7bd078f920,418,,,rolling_origin_replay
2026-08-01T16:18:46.157707+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260801_161846_2932334642.csv,2932334642b7b50d0b0cd486df2af02b0c558fd104f2bdcc5c28be53c95d5bf6,9,,,rolling_origin_replay
2026-08-01T16:18:46.259259+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260801_161846_338e43e110.csv,338e43e1101733421fedb324c62006232e4126b17e5610e0d2dc34da8e283360,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
2026-08-01T20:12:13.862663+00:00,rolling_origin_replay_results,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_results_20260801_201211_ea24788363.csv,ea247883634ac2a6e55a3e26bbab2486765e638adc19c33e789354148b407160,8440,2024-10-13T07:00:00+00:00,2026-07-23T06:00:00+00:00,rolling_origin_replay
2026-08-01T20:12:13.876388+00:00,rolling_origin_replay_stage_metrics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_stage_metrics_20260801_201213_002cbfb966.csv,002cbfb966e29a3495611966ac76f22b6787d22aa8ae2f37e30533362e0ffda6,19,,,rolling_origin_replay
2026-08-01T20:12:13.914898+00:00,rolling_origin_replay_origin_metrics_by_stage,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\rolling_origin_replay_origin_metrics_by_stage_20260801_201213_af2baa603a.csv,af2baa603ab313aa6c251f6962c1d428fdcee59bc70d455953cbe593aceba5f8,418,,,rolling_origin_replay
2026-08-01T20:12:13.929721+00:00,production_readiness_scorecard,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\production_readiness_scorecard_20260801_201213_c5dd698625.csv,c5dd698625355970dbbfe35293440a65f5718bb0b91ec03cc2ab11c6465d39d7,9,,,rolling_origin_replay
2026-08-01T20:12:14.038892+00:00,june_hot_origin_diagnostics,C:\Users\ProsserJames\PycharmProjects\XGBoost_Roseville_System_Load_Forecast\forecast_outputs\replay_runs\june_hot_origin_diagnostics_20260801_201213_d5fdb9a8c6.csv,d5fdb9a8c6eb9780a9b23b6524d3d49e0b9d381c279c9c3ad88b95214e78f767,266,2025-06-01T21:00:00+00:00,2026-06-14T03:00:00+00:00,rolling_origin_replay
