Model,Feature,Importance,Importance_Pct
xgb,Hour,0.00019028631504625082,0.0190286301864629
xgb,IsWinterSeason,0.00018934237596113235,0.01893423628448996
xgb,IsSummerSeason,0.00017705446225591004,0.017705444999089263
xgb,BTM_Solar_Loss_From_ClearSky_MW,0.00017344219668302685,0.017344218466824036
xgb,Cooling_Stress,0.00016206837608478963,0.016206836485789692
xgb,Daily_HDD,0.00015897987759672105,0.015897986658377657
xgb,Temperature_DailyMean,0.00015538238221779466,0.015538237145405791
xgb,Solar_Evening_Ramp_Flag,0.00014909582387190312,0.014909581354365242
xgb,MWH_Rolling12,0.00014437000208999962,0.014436999208911875
xgb,DOW,0.0001415338774677366,0.014153386766332135
xgb,ClearSky_Index,0.0001349111262243241,0.013491111687868386
xgb,HDD_Squared,0.00011162100418005139,0.011162099644777771
xgb,MWH_Rolling6,0.0001115428312914446,0.011154282356458618
xgb,IsBusinessDay,9.951517859008163e-05,0.00995151716964096
xgb,Daily_BTM_Solar_Proxy_Total_MWh,9.211325959768146e-05,0.009211325321675935
xgb,HDD,8.459825767204165e-05,0.008459825181170305
xgb,MWH_Lag168,7.749514043098316e-05,0.007749513506269572
xgb,IsLikelySystemPeakHour,7.6074487878941e-05,0.007607448260906582
xgb,Daily_BTM_Solar_Loss_MWh,7.194279896793887e-05,0.0071942793984276394
xgb,Daily_BTM_ClearSky_Max_MW,7.120663212845102e-05,0.007120662719578471
xgb,IsSuperPeak,6.884858157718554e-05,0.006884857680786745
xgb,DayOfYearCos,6.696336640743539e-05,0.006696336176871099
xgb,DailyMax_x_PeakHour,6.663640670012683e-05,0.006663640208405177
xgb,Temperature_DailyMin,6.386156019289047e-05,0.006386155576903615
xgb,Daily_BTM_Solar_Proxy_Max_MW,5.9066656831419095e-05,0.005906665273972006
xgb,Nameplate_MW,5.795659308205359e-05,0.005795658906725151
xgb,Midday_Overcast_Solar_Loss_MW,5.741202039644122e-05,0.005741201641936309
xgb,Solar_Season_Factor,5.7337572798132896e-05,0.0057337568826211945
xgb,WeekOfYear,5.2901690651196986e-05,0.005290168698656099
xgb,Solar_Ramp_Up_1hr,5.2260795200709254e-05,0.005226079158046973
xgb,DOWSin,5.2258328651078045e-05,0.005225832503100938
xgb,IsFriday,4.765064295497723e-05,0.00476506396540948
xgb,Cloud_x_Solar_Hour,4.616869046003558e-05,0.00461686872618118
xgb,Is_Raining,4.544838157016784e-05,0.004544837842184171
xgb,WindSpeed_Mph,4.492784137255512e-05,0.004492783826028815
xgb,Daily_BTM_Solar_Loss_Max_MW,4.441235068952665e-05,0.004441234761296904
xgb,MonthCos,4.190846811980009e-05,0.004190846521669286
xgb,MWH_Rolling48,4.184585850453004e-05,0.004184585560575994
xgb,DayOfYear,4.170069223619066e-05,0.004170068934747659
xgb,DOWCos,4.1672530642244965e-05,0.004167252775548172
xgb,BTM_x_Cloud,4.069213900947943e-05,0.004069213619063044
xgb,CloudCover_Norm,3.963914423366077e-05,0.003963914148775543
xgb,MWH_Rolling168,3.916814239346422e-05,0.003916813968018639
xgb,Wind_x_Temp,3.8948044675635174e-05,0.003894804197760408
xgb,Rain_x_IsWeekend,3.800091872108169e-05,0.0038000916088660438
xgb,Capacity_Ratio_To_Current,3.782336352742277e-05,0.0037823360907301225
xgb,Cloud_x_ClearSky_GHI,3.6185378121444955e-05,0.0036185375614790865
xgb,IsWeekend,3.5370452678762376e-05,0.0035370450228560265
xgb,PrecipIn,3.469948933343403e-05,0.0034699486929711276
xgb,DayOfYearSin,3.3234642614843324e-05,0.003323464031259426
xgb,Humidity_x_Temp,3.28210080624558e-05,0.0032821005788860264
xgb,Cloud_x_GHI,3.0947943741921335e-05,0.0030947941598077774
xgb,Impact_Cap_MW,2.7018668333766982e-05,0.0027018666462114427
xgb,Month,2.5966906832763925e-05,0.002596690503396959
xgb,MonthSin,2.420548116788268e-05,0.0024205479491106827
xgb,MWH_Lag48,2.193162072217092e-05,0.0021931619202911214
xgb,Humidity_Norm,2.071637391054537e-05,0.002071637247546894
xgb,MWH_Lag72,2.017673796217423e-05,0.002017673656447976
xgb,Extreme_Heat_80,1.4610809557780158e-05,0.001461080854565185
xgb,Temp_Bin,6.296299943642225e-06,0.0006296299507481354
xgb,Extreme_Heat_100,0.0,0.0
xgb,Extreme_Heat_90,0.0,0.0
xgb,Extreme_Heat_95,0.0,0.0
xgb,IsHolidayAdjacent,0.0,0.0
xgb,IsPostHoliday,0.0,0.0
xgb,IsPreHoliday,0.0,0.0
xgb,IsHoliday,0.0,0.0
xgb,FiveMin_Load_Available,0.0,0.0
xgb,FiveMin_Data_Age_Hours,0.0,0.0
xgb,FiveMin_PrevHour_Avg_MW,0.0,0.0
xgb,FiveMin_PrevHour_Max_MW,0.0,0.0
xgb,FiveMin_PrevHour_Min_MW,0.0,0.0
xgb,FiveMin_PrevHour_Last_MW,0.0,0.0
xgb,FiveMin_PrevHour_Range_MW,0.0,0.0
xgb,FiveMin_PrevHour_Ramp_MW,0.0,0.0
xgb,FiveMin_PrevHour_Count,0.0,0.0
xgb,FiveMin_Ramp_15Min_MW,0.0,0.0
xgb,FiveMin_Ramp_30Min_MW,0.0,0.0
xgb,FiveMin_Ramp_60Min_MW,0.0,0.0
lgb,MWH_Lag1,6531.0,7.424121859724907
lgb,MWH_Lag24,2819.0,3.204501534614073
lgb,Solar_Irradiance,2310.0,2.6258951915425714
lgb,Hot_Humid_Stress,2158.0,2.45310901443674
lgb,WindSpeed_Mph,2086.0,2.371262930544504
lgb,Wind_x_Temp,2040.0,2.3189723769466863
lgb,Temperature_DailyMax,2029.0,2.3064681141298173
lgb,MWH_Lag3,1816.0,2.0643401159486188
lgb,MWH_Rolling24Std,1803.0,2.0495623508014096
lgb,Temperature_DailyMin,1790.0,2.0347845856542004
lgb,MWH_Lag168,1713.0,1.9472547459361147
lgb,Daily_BTM_Solar_Loss_MWh,1697.0,1.9290667272933955
lgb,MWH_Rolling12,1645.0,1.8699556667045585
lgb,MWH_Lag2,1641.0,1.8654086620438788
lgb,DOW,1607.0,1.8267591224281003
lgb,MWH_Rolling168,1570.0,1.7846993293168127
lgb,ClearSky_GHI_Proxy_Wm2,1546.0,1.7574173013527337
lgb,Daily_BTM_Solar_Proxy_Total_MWh,1457.0,1.6562464476526089
lgb,MWH_SameHour7DayMean,1449.0,1.6471524383312495
lgb,MWH_Lag72,1449.0,1.6471524383312495
lgb,DayOfYearCos,1443.0,1.6403319313402296
