combo,overall_mae,overall_bias,hot_mae,hot_bias,peak_mae,last45_mae,days47_mae,cloud_mae,shoulder_mae,all_pass,pass_like
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|july_90_95_low_state_backoff-12,3.6904884321961315,0.5761328398615153,5.387183692728431,1.923236526555426,5.064822113303279,2.8332822539136666,3.489189413619591,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|july_90_95_low_state_backoff-15,3.6905412893292806,0.572096381528182,5.388127745711197,1.8511435032996122,5.067575827542397,2.8332822539136666,3.4943977469529246,5.083889689101491,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-14,3.6905747925896653,0.5636328398615154,5.388726129524569,1.6999807126019377,5.061190624441909,2.8332822539136666,3.4695495077971996,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|sep_d4_7_cloudy_92_95_down-14|july_90_95_low_state_backoff-15,3.69057922954035,0.5786067981948488,5.388805375527497,1.967422573067054,5.0563258275423975,2.8332822539136666,3.5007995077971996,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-14|july_90_95_low_state_backoff-12,3.690580139730859,0.570924506528182,5.38882163195334,1.8302132707414727,5.0621795020835645,2.8332822539136666,3.4695495077971996,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-14|june_evening_combo_trim-8,3.690616010421553,0.558424506528182,5.389462299173173,1.6069574567879843,5.083690624441909,2.8332822539136666,3.489189413619591,5.083889689101491,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14|july_90_95_low_state_backoff-15,3.690632996864009,0.572096381528182,5.389765684936106,1.8511435032996122,5.064933216322683,2.8332822539136666,3.4643411744638666,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_90_95_down-10,3.690720961982308,0.5532161731948487,5.391336782862941,1.5139342009740309,5.068690624441908,2.8332822539136666,3.4743008520344394,5.077323700920269,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|july_90_95_low_state_backoff-12,3.690748848862798,0.567018256528182,5.3918348555191296,1.7604458288810076,5.068572113303279,2.8332822539136666,3.4943977469529246,5.083889689101491,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-12|sep_d4_7_cloudy_92_95_down-12|july_90_95_low_state_backoff-15,3.6907791662566525,0.5747005481948487,5.392376338274477,1.897655131206589,5.064933216322682,2.8332822539136666,3.4711758520344396,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|sep_d4_7_cloudy_92_95_down-14|july_90_95_low_state_backoff-12,3.690786789073867,0.5735286731948488,5.392512485335429,1.8767248986484495,5.057322113303279,2.8332822539136666,3.5007995077971996,5.0733841080115365,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|july_95_98_low_state_cancel_recovery-8|aug_95_98_high_state_rebound8|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14,3.690835209256332,0.5597265898615154,5.393377292315267,1.6302132707414727,5.064940624441908,2.8332822539136666,3.4643411744638666,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|june_d4_7_98_100_hot_trim-14|sep_d4_7_cloudy_92_95_down-14|july_90_95_low_state_backoff-12,3.6908405563975255,0.567018256528182,5.393472794744039,1.7604458288810076,5.065929502083565,2.8332822539136666,3.4643411744638666,5.074697305647781,4.37010182312897,True,True
june_low_extra_trim_all-12|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|june_evening_combo_trim-8,3.6908764270882197,0.562330756528182,5.394113461963871,1.6767248986484493,5.0799406244419085,2.8332822539136666,3.4943977469529246,5.082576491465247,4.37010182312897,True,True
june_low_extra_trim_all-10|july_95_98_low_state_cancel_recovery-10|aug_95_98_high_state_rebound10|july_95_98_low_state_cancel_recovery-8|june_d4_7_98_100_hot_trim-12|june_evening_combo_trim-6,3.6908764270882197,0.554518256528182,5.394113461963871,1.5371900149275193,5.087440624441908,2.8332822539136666,3.4943977469529246,5.083889689101491,4.37010182312897,True,True
