Stage,ForecastColumn,Replay_Horizon_Bucket,CloudCoverBucket,SolarLossBucket,Hour,N,Actual_Mean_MWH,Forecast_Mean_MWH,Bias_MWH,MAE_MWH,MAPE_PCT,Underforecast_Rate_PCT,P90_AbsError_MWH,Max_Underforecast_MWH,Max_Overforecast_MWH,RMSE_MWH
xgb_component,XGB_Pred_MWH,Days2to7,Clear/Low,High,11,85,173.4768423647059,173.80890915814567,-0.33206679343979734,6.202631505089613,3.4855104640760053,47.05882352941176,13.66476039375001,40.50134783593751,20.255025455078112,8.776557775757983
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,None,14,2,279.94458699999996,273.87127685546875,6.073310144531234,6.073310144531234,2.2225524197820548,100.0,8.07135471796874,8.570865861328116,0.0,6.566801403283853
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Medium,12,5,212.15958140000004,212.77008666992188,-0.6105052699218732,5.8582284374999976,2.713563111315419,60.0,12.120750968164055,8.964160124023437,14.2251448642578,7.745988486835026
xgb_component,XGB_Pred_MWH,Day1,Clear/Low,High,11,14,158.57351285714284,160.6426260811942,-2.0691132240513417,5.804489118303574,3.6011543511106017,50.0,11.322291418261724,6.374106054687502,16.980292984375012,7.338864813586132
xgb_component,XGB_Pred_MWH,Day1,Clear/Low,Extreme,10,13,149.15196192307693,150.57977529672476,-1.4278133736478367,5.754691818209135,3.8771569403242885,53.84615384615385,10.226215844726552,10.461666333007798,14.346032315429682,6.980412029881893
xgb_component,XGB_Pred_MWH,Days2to7,Clear/Low,High,10,20,151.6130964,154.96953277587892,-3.356436375878905,5.697521756738279,3.7438256482278702,20.0,10.39799688066406,18.010881591796874,14.349033625976574,7.147301861651027
xgb_component,XGB_Pred_MWH,Days2to7,Some Clouds,Extreme,10,7,170.50284971428573,167.67187717982702,2.8309725344587053,5.473771257393976,3.265011908120026,42.857142857142854,11.207511279296881,19.302065795898443,2.882053897460935,7.968752332646215
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,Low,15,1,148.279183,153.5611114501953,-5.281928450195323,5.281928450195323,3.562151033834145,0.0,5.281928450195323,-5.281928450195323,5.281928450195323,5.281928450195323
xgb_component,XGB_Pred_MWH,Day1,Overcast,High,11,1,127.2852,132.41201782226562,-5.126817822265622,5.126817822265622,4.027819276919565,0.0,5.126817822265622,-5.126817822265622,5.126817822265622,5.126817822265622
xgb_component,XGB_Pred_MWH,Day1,Mostly Cloudy,Low,14,1,265.148,270.27032470703125,-5.122324707031225,5.122324707031225,1.9318737863499726,0.0,5.122324707031225,-5.122324707031225,5.122324707031225,5.122324707031225
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,11,3,160.11962200000002,165.14941914876303,-5.029797148763019,5.029797148763019,3.1475570846224277,0.0,6.353185154101562,-3.9334846191406143,6.870006314453121,5.197378544816722
xgb_component,XGB_Pred_MWH,Days2to7,Mostly Cloudy,High,11,6,183.9032595,184.25098164876303,-0.34772214876302127,4.7950996500651115,2.6551255482344587,50.0,7.244457670410156,6.463770931640624,8.025144409179688,5.125687399268171
xgb_component,XGB_Pred_MWH,Days2to7,Partly Cloudy,High,12,1,116.123233,120.71566009521484,-4.592427095214845,4.592427095214845,3.9547874930547664,0.0,4.592427095214845,-4.592427095214845,4.592427095214845,4.592427095214845
xgb_component,XGB_Pred_MWH,Days2to7,Some Clouds,High,11,2,152.5754875,149.91915893554688,2.6563285644531334,4.533711181640626,2.8887291468862095,50.0,6.658774033203133,7.19003974609376,1.877382617187493,5.254580717893949
xgb_component,XGB_Pred_MWH,Days8to16,Overcast,High,13,1,133.698016,138.13966369628906,-4.441647696289067,4.441647696289067,3.322149295236413,0.0,4.441647696289067,-4.441647696289067,4.441647696289067,4.441647696289067
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,High,11,2,203.21096649999998,200.9617462158203,2.2492202841796853,4.238341239257821,2.234043157986104,50.0,6.037717466601569,6.487561523437506,1.9891209550781355,4.798179691003544
xgb_component,XGB_Pred_MWH,Days8to16,Mostly Cloudy,Extreme,14,1,144.080041,148.22296142578125,-4.142920425781256,4.142920425781256,2.8754297937639093,0.0,4.142920425781256,-4.142920425781256,4.142920425781256,4.142920425781256
xgb_component,XGB_Pred_MWH,Days2to7,Partly Cloudy,Extreme,10,6,140.11402033333334,142.83111826578775,-2.717097932454429,4.009294015787762,2.929730595829396,33.33333333333333,6.866348201171874,3.4228283291015487,9.641733389648437,4.89556071562125
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Extreme,10,3,137.92068866666668,140.59146372477213,-2.6707750581054674,3.7539680164387996,2.5080334186968805,33.33333333333333,6.239297756347651,1.6247894374999987,7.1864580566406175,4.482961731842482
xgb_component,XGB_Pred_MWH,Days2to7,Overcast,Extreme,12,2,168.4393035,171.59877014160156,-3.159466641601554,3.159466641601554,2.0512565298583727,0.0,3.3035058798828087,-2.979417593749986,3.3395156894531226,3.164592725616562
